,BRK_pts,LAL_pts,BRK_def_rtg,BRK_off_rtg,BRK_orb_pct,BRK_drb_pct,BRK_blk_pct,BRK_tov_pct,BRK_efg_pct,BRK_fg3_pct,LAL_def_rtg,LAL_off_rtg,LAL_orb_pct,LAL_drb_pct,LAL_blk_pct,LAL_tov_pct,LAL_efg_pct,LAL_fg3_pct,A,H,Winner
0,92.0,99.0,118.5,110.1,45.5,61.5,10.8,10.4,0.449,0.25,110.1,118.5,38.5,54.5,8.3,6.5,0.44,0.333,0.0,1.0,1.0
1,105.0,121.0,118.6,102.9,32.7,65.6,4.1,12.7,0.432,0.286,102.9,118.6,34.4,67.3,6.8,17.0,0.63,0.5,1.0,0.0,1.0
2,103.0,108.0,109.2,104.2,23.3,63.9,14.7,11.0,0.475,0.5,104.2,109.2,36.1,76.7,5.5,13.4,0.481,0.2,0.0,1.0,1.0
3,89.0,110.0,109.2,88.4,33.3,61.8,5.8,10.6,0.333,0.0,88.4,109.2,38.2,66.7,11.5,12.7,0.429,0.5,1.0,0.0,1.0
4,89.0,98.0,104.0,94.5,31.8,68.9,6.6,13.4,0.394,0.111,94.5,104.0,31.1,68.2,7.9,15.1,0.419,0.25,0.0,1.0,1.0
5,92.0,101.0,114.1,104.0,45.2,54.3,9.1,16.3,0.494,0.167,104.0,114.1,45.7,54.8,4.0,11.3,0.409,0.6,1.0,0.0,1.0
6,100.0,98.0,96.3,98.3,20.5,65.9,6.1,17.6,0.481,0.2,98.3,96.3,34.1,79.5,5.5,15.9,0.437,0.0,1.0,0.0,0.0
7,106.0,91.0,97.7,113.8,43.6,78.0,6.8,14.3,0.5,0.0,113.8,97.7,22.0,56.4,7.5,9.2,0.419,0.308,0.0,1.0,0.0
8,105.0,102.0,102.2,105.2,37.3,78.6,18.4,11.3,0.422,0.0,105.2,102.2,21.4,62.7,6.8,12.9,0.506,0.3,0.0,1.0,0.0
9,102.0,90.0,96.3,109.1,29.3,69.4,6.0,11.3,0.456,0.286,109.1,96.3,30.6,70.7,11.1,10.4,0.432,0.167,1.0,0.0,0.0
10,120.0,129.0,108.7,101.1,43.1,65.6,10.3,16.6,0.429,0.158,101.1,108.7,34.4,56.9,7.5,12.4,0.496,0.231,0.0,1.0,1.0
11,116.0,120.0,108.9,105.3,39.6,75.9,12.0,12.1,0.471,0.188,105.3,108.9,24.1,60.4,3.4,9.3,0.47,0.353,1.0,0.0,1.0
12,98.0,100.0,108.8,106.6,42.6,76.1,11.7,9.4,0.422,0.5,106.6,108.8,23.9,57.4,10.6,11.4,0.506,0.333,0.0,1.0,1.0
13,96.0,106.0,115.3,104.4,27.5,67.5,12.1,12.8,0.459,0.3,104.4,115.3,32.5,72.5,21.1,12.3,0.519,0.5,1.0,0.0,1.0
14,105.0,115.0,115.4,105.4,41.3,67.6,4.9,15.5,0.484,0.391,105.4,115.4,32.4,58.7,8.2,17.1,0.547,0.375,1.0,0.0,1.0
15,84.0,109.0,115.0,88.6,41.9,59.1,4.2,13.7,0.343,0.125,88.6,115.0,40.9,58.1,15.1,11.7,0.506,0.357,0.0,1.0,1.0
16,106.0,95.0,99.2,110.7,37.5,64.6,2.8,10.4,0.473,0.389,110.7,99.2,35.4,62.5,15.8,18.0,0.471,0.214,1.0,0.0,0.0
17,106.0,117.0,122.0,110.6,43.1,65.0,4.5,10.9,0.462,0.333,110.6,122.0,35.0,56.9,8.0,15.2,0.578,0.273,0.0,1.0,1.0
18,80.0,103.0,117.7,91.4,28.0,77.8,2.7,11.7,0.377,0.385,91.4,117.7,22.2,72.0,10.3,10.1,0.566,0.4,1.0,0.0,1.0
19,89.0,97.0,112.7,103.4,27.5,70.5,7.9,9.1,0.449,0.118,103.4,112.7,29.5,72.5,9.8,7.8,0.47,0.167,0.0,1.0,1.0
20,101.0,113.0,126.6,113.1,23.1,63.9,3.3,8.0,0.506,0.278,113.1,126.6,36.1,76.9,4.8,12.2,0.556,0.4,1.0,0.0,1.0
21,110.0,113.0,116.8,113.7,28.2,60.5,1.6,11.6,0.506,0.471,113.7,116.8,39.5,71.8,13.2,11.9,0.512,0.273,0.0,1.0,1.0
22,92.0,101.0,110.4,100.6,30.4,72.5,3.6,8.0,0.385,0.25,100.6,110.4,27.5,69.6,7.5,13.5,0.535,0.533,1.0,0.0,1.0
23,94.0,92.0,110.5,112.9,43.2,66.7,8.2,10.7,0.517,0.25,112.9,110.5,33.3,56.8,6.8,9.7,0.471,0.36,0.0,1.0,0.0
